App Name,App ID,Price,Rating,Number of Ratings,Developer,Size,Minimum OS Version,Content Rating,Genre,Year
Boom Beach: War Strategy Game,672150402,Free,4.70967,287246,Supercell Oy,604057600,12,9+,Action,2014
State.io - Conquer the World,1559032748,Free,4.54875,198271,AI GAMES FZ LLC,274869248,13,12+,Strategy,2021
Two Spies,1466304408,Free,4.74081,11235,"Royal Pixel Service, Ltd.",92142592,13,9+,Board,2019
Forge of Empires: Build a City,711455226,Free,4.60095,164179,InnoGames GmbH,388532224,12,9+,Entertainment,2014
Clash of Clans,529479190,Free,4.75467,2571858,Supercell Oy,420755456,12,9+,Action,2012
Stick War: Legacy,1001780528,Free,4.80455,61684,1004319 Alberta Ltd,260213760,13,12+,Adventure,2016
T3 Arena,1602814337,Free,4.77987,79070,XD Entertainment Pte Ltd,2150713344,12,9+,Action,2022
Clash Royale,1053012308,Free,4.5875,2818301,Supercell Oy,780521472,14,9+,Strategy,2016
Star Wars™: Galaxy of Heroes,921022358,Free,4.59097,218739,EA Swiss Sarl,204266496,12,9+,Strategy,2015
State of Survival: Zombie War,1452474937,Free,4.64604,379196,FunPlus International AG,708504576,12,12+,Role Playing,2019
Tower War - Tactical Conquest,1579356887,Free,4.62378,112714,SayGames LTD,249886720,13,17+,Casual,2021
South Park: Phone Destroyer™,1106442030,Free,4.78782,248628,Ubisoft,157441024,12,17+,Strategy,2017
War Heroes Strategy Card Games,1142744199,Free,4.75506,34266,"Wildlife Studios, Inc",186565632,8,12+,Strategy,2017
AFK Journey,1628970855,Free,4.82961,60661,FARLIGHT PTE. LTD.,1492656128,11,12+,Adventure,2024
RISK: Global Domination,1051334048,Free,4.74864,175627,SMG STUDIO PTY LTD,1193857024,15.6,9+,Strategy,2015
Chess - Play & Learn,329218549,Free,4.81091,535155,"Chess.com, LLC",377463808,15,4+,Strategy,2009
Grand War: Rome Strategy Games,1593989305,Free,4.83031,3029,"HangZhouCaiLingTechnology.Co., Limited",1059197952,12,12+,Entertainment,2021
Last War:Survival,6448786147,Free,4.6978,180733,FUNFLY PTE. LTD.,1664933888,10,9+,Card,2023
Call of War: WW2 Strategy,1331030677,Free,4.79047,24046,Bytro Labs GmbH,102915072,13,17+,Strategy,2018
Plants vs. Zombies™ 2,597986893,Free,4.69068,426971,PopCap,188615680,13,9+,Adventure,2013
PUBG MOBILE,1330123889,Free,4.29708,1462481,Tencent Mobile International Limited,3797963776,12,12+,Action,2018
Agar.io,995999703,Free,4.51478,216310,Miniclip SA,130987008,12,9+,Strategy,2015
Last Empire – War Z: Strategy,1040083067,Free,4.2606,3726,Interesting Game Network Limited,585486336,12,12+,Entertainment,2015
Whiteout Survival,6443575749,Free,4.65787,242362,Century Games Pte. Ltd.,815654912,12,4+,Strategy,2023
WW2: Strategy Games War Games,1486726122,Free,4.39689,1416,哲宇 吴,349575168,9,12+,Entertainment,2019
Alien Creeps TD,880017562,Free,4.69198,13548,Outplay Entertainment Ltd,189429760,12,9+,Strategy,2014
Cooking Fever: Restaurant Game,714796093,Free,4.46584,266749,Nordcurrent UAB,261784576,13,4+,Entertainment,2014
Conflict of Nations: WW3,1510997559,Free,4.7614,59362,Bytro Labs GmbH,92082176,13,12+,Entertainment,2020
War and Order,1071744151,Free,4.50464,47376,"Hong Kong Ke Mo software Co., Limited",730606592,12,17+,Strategy,2016
WW2: Strategy World War Games,1542704988,Free,4.81918,3357,哲宇 吴,789472256,12,12+,Strategy,2021
Godus,815181808,Free,4.61407,74179,22 Cans Ltd.,332863488,12.1,4+,Simulation,2014
War Machines：Battle Tank Games,1058528141,Free,4.64109,183134,"Wildlife Studios, Inc",437215232,12,12+,Entertainment,2016
Idle Miner Tycoon: Money Games,1116645064,Free,4.73345,780194,Kolibri Games GmbH,297352192,15.2,12+,Entertainment,2016
RAID: Shadow Legends,1371565796,Free,4.70998,485684,Plarium Global Ltd,246947840,13,12+,Role Playing,2019
Pokémon GO,1094591345,Free,3.98584,593330,"Niantic, Inc.",361454592,15,9+,Strategy,2016
Mafia City: War of Underworld,1235569398,Free,4.77314,125731,VoyagerOne Pte. Ltd.,276145152,9,17+,Strategy,2017
Snake.io - Fun Online Snake,1104692136,Free,4.62877,366499,Kooapps,201731072,12,4+,Entertainment,2016
"Cash, Inc. Fame & Fortune Game",1270598321,Free,4.88486,555866,Lion Studios Plus LLC,286914560,15.2,12+,Strategy,2017
"Egg, Inc.",993492744,Free,4.792,530887,"Auxbrain, Inc.",128478208,12,12+,Strategy,2016
Game of War - Fire Age,667728512,Free,2.22013,2244,"Machine Zone, Inc",303195136,13,9+,Social Networking,2013
Woodoku - Wood Block Puzzles,1496354836,Free,4.70408,615991,Tripledot Studios Limited,248501248,13,12+,Puzzle,2020
Cooking Madness-Kitchen Frenzy,1323901884,Free,4.85466,713026,ZenLife Games Pte. Ltd.,594298880,13,12+,Casual,2017
Monster Legends: Merge RPG,653508448,Free,4.77651,515716,Socialpoint,217440256,12,12+,Strategy,2013
"Yahoo Fantasy Football, Sports",328415391,Free,4.79276,690152,Yahoo Inc.,187669504,16,17+,Games,2009
Summoners War X Demon Slayer,852912420,Free,4.22848,40809,Com2uS Corp.,2240914432,12,12+,Role Playing,2014
Mushroom Wars 2: RTS Strategy,1141358828,Free,4.49482,25856,AZUR INTERACTIVE GAMES LIMITED,895832064,14.3,4+,Action,2016
Tetris®,1491074310,Free,4.54863,414805,"Playstudios, Inc.",317107200,13,4+,Puzzle,2020
GUNS UP ! Mobile War Strategy,1460933986,Free,4.71689,17781,NHN Corp.,431777792,12,12+,Strategy,2022
Bloons TD Battles,624533261,Free,4.75779,360071,Ninja Kiwi Limited,174073856,12,9+,Strategy,2013
World of Tanks Blitz™,859204347,Free,4.61428,127265,WARGAMING Group Limited,3992943616,12,12+,Strategy,2014
Rise of Kingdoms,1354260888,Free,4.49531,174546,"LilithGame Co., Ltd",1959895040,11,9+,Role Playing,2018
Lemmings: Strategy & Puzzle,1238114713,Free,4.66538,24162,SAD PUPPY LIMITED,340201472,14,12+,Entertainment,2018
Tower Madness 2: #1 in Great Strategy TD Games,648977182,Free,4.6304,9881,"Limbic Software, Inc.",81753088,7,9+,Action,2014
DomiNations,922558758,Free,4.51405,36561,"Nemesis Games, Inc",255223808,12,12+,Entertainment,2015
WW2: World War Strategy Games,1420982632,Free,4.24523,4983,哲宇 吴,249064448,9,9+,Entertainment,2018
Trench Warfare 1917: WW1 Game,1534041461,Free,4.72164,11230,SimpleBit Studios ApS,210214912,12,12+,Action,2020
Infection Bio War,805807843,Free,4.57716,19149,"Wildlife Studios, Inc",50154496,7,4+,Simulation,2014
The Battle of Polytopia,1006393168,Free,4.59593,14406,Midjiwan AB,164492288,12,9+,Strategy,2016
Guns of Glory: Lost Island,1274354704,Free,3.84027,18644,FunPlus International AG,1132886016,12,12+,Role Playing,2017
aa,905852173,Free,3.81417,7706,General Adaptive Apps Pty Ltd,208389120,13,4+,Strategy,2014
Plague Inc.,525818839,$0.99 ,4.81034,149616,Ndemic Creations LTD,107035648,9.3,12+,Strategy,2012
