county,american,asian,burger,chinese,indian,italian,mexican,pizza,sushi,thai,population_2024_est
BEAVER,5,0,0,0,0,0,3,1,0,0,7339
BOX ELDER,5,0,1,3,0,0,4,2,1,0,61755
CACHE,6,1,0,3,2,2,12,14,2,1,143483
CARBON,5,0,0,0,0,1,0,1,0,0,20442
DAVIS,11,9,6,6,6,2,21,17,3,6,378572
DUCHESNE,1,0,0,1,0,0,0,1,0,0,20171
EMERY,0,0,2,0,0,0,3,1,0,0,9913
GARFIELD,3,0,1,0,0,0,0,3,0,0,5115
GRAND,5,0,1,0,1,0,4,2,1,2,9898
IRON,3,1,1,1,2,0,7,7,0,1,67897
JUAB,1,0,1,1,0,0,2,1,0,0,13116
KANE,4,0,0,0,0,0,1,1,0,0,8364
MILLARD,0,0,1,0,0,0,1,0,0,0,13609
MORGAN,2,0,0,0,0,1,0,0,0,0,13093
PIUTE,0,0,0,0,0,0,0,1,0,0,1649
RICH,4,0,0,0,0,0,1,2,0,0,2805
SALT LAKE,89,55,33,48,37,50,158,71,35,43,1232666
SAN JUAN,4,0,1,1,0,1,1,1,0,1,15005
SANPETE,1,0,0,1,0,1,4,3,0,0,30900
SEVIER,3,0,0,0,0,0,2,3,0,0,21972
SUMMIT,17,2,2,1,2,7,9,8,4,2,43304
TOOELE,5,0,1,2,1,1,6,1,0,1,81856
UINTAH,7,0,0,2,0,1,6,1,0,0,36215
UTAH,24,8,13,12,5,10,44,32,13,11,749604
WASATCH,4,0,0,1,1,2,8,0,0,0,38802
WASHINGTON,14,0,4,4,2,5,20,16,0,6,204386
WAYNE,2,0,0,0,0,0,2,0,0,0,2543
WEBER,22,6,2,11,3,3,18,12,2,8,271382
